ssid,predicted_floorid,predicted_roomid,lat,lng
<<<<<<< HEAD
2,169,213,7.06581845469194,125.59640938473659
=======
1,130,213,7.065786965522966,125.59638423848826
2,184,213,7.065820946620848,125.5964620224949
>>>>>>> 5da3193271b38a644fc89f2636231d5e5d727163
